paymentTypeCode,rateCodeIdCode,year,month,TotalTrips,totalRevenueByPayment,totalTipsCollected,totalTollsPaid
Credit card,Group ride,2018,7,7,47.98,14.88,0.0
Cash,Standard rate,2018,8,2395545,2.97458723E7,115.67,330164.16
Credit card,Negotiated fare,2018,8,27721,1909670.91,193457.38,72420.33
Cash,JFK,2018,8,55742,3235948.96,0.0,245028.34
Credit card,JFK,2018,8,134829,9238819.56,1385485.65,620608.99
Credit card,Standard rate,2018,8,5156422,8.196742103E7,1.250500552E7,1297666.43
No charge,Standard rate,2018,8,36372,833863.37,39.36,8626.19
Cash,Negotiated fare,2018,8,4669,293058.75,0.0,18358.51
Dispute,Standard rate,2018,8,11339,117437.21,6.11,2030.15
Dispute,Negotiated fare,2018,8,328,4662.56,-4.98,410.86
Cash,Newark,2018,8,4087,308854.15,0.0,47793.45
No charge,Newark,2018,8,469,14435.89,0.0,2059.09
Credit card,Nassau or Westchester,2018,8,3743,342681.64,43614.17,10284.23
Credit card,Newark,2018,8,11282,1128086.34,158919.64,164192.43
No charge,Group ride,2018,8,34,1047.63,0.0,0.0
Dispute,Nassau or Westchester,2018,8,34,1293.5,0.0,28.8
Credit card,,2018,8,65,4796.62,271.52,112.66
Cash,Nassau or Westchester,2018,8,2306,156615.59,0.0,4734.14
Dispute,Newark,2018,8,113,3539.51,-60.0,376.81
No charge,Nassau or Westchester,2018,8,155,6293.54,0.0,89.04
No charge,JFK,2018,8,1890,987797.34,-15.84,6372.08
No charge,Negotiated fare,2018,8,1207,19226.37,-31.77,1501.87
Dispute,Group ride,2018,8,5,10.9,0.0,0.0
Dispute,JFK,2018,8,514,17869.7,0.0,1764.2
Cash,,2018,8,95,1298.34,1.0,30.68
Cash,Group ride,2018,8,44,1091.15,0.0,17.51
No charge,,2018,8,26,10453.31,115.0,0.0
Credit card,Group ride,2018,8,4,294.9,281.7,0.0
Unknown,Standard rate,2018,8,1,35.8,0.0,0.0
Credit card,Standard rate,2018,9,5423026,8.842587247E7,1.344179162E7,1354506.97
Credit card,JFK,2018,9,143919,9859420.04,1495469.01,656178.71
Cash,JFK,2018,9,54211,3143297.41,0.0,238179.61
Cash,Standard rate,2018,9,2308585,2.884494008E7,256.35,306981.06
Credit card,Negotiated fare,2018,9,31525,2062983.38,204080.36,80363.73
Cash,Nassau or Westchester,2018,9,1764,122925.08,0.0,3243.77
Dispute,Newark,2018,9,125,3998.23,0.0,498.13
Cash,Negotiated fare,2018,9,4850,292269.93,0.0,17185.25
Dispute,Nassau or Westchester,2018,9,44,2053.28,0.0,54.48
Dispute,Negotiated fare,2018,9,308,3282.68,-27.3,508.4
No charge,Standard rate,2018,9,36487,399406.15,63.04,7036.24
Dispute,JFK,2018,9,527,17182.3,8.78,1377.02
No charge,Negotiated fare,2018,9,1294,20870.87,-10.74,1714.71
Credit card,Nassau or Westchester,2018,9,3299,310184.21,40525.86,10119.88
No charge,JFK,2018,9,1928,86794.15,-21.12,6776.15
No charge,Nassau or Westchester,2018,9,159,22474.96,0.0,237.44
Cash,Newark,2018,9,3922,288586.57,0.0,45309.28
Dispute,Standard rate,2018,9,11112,114140.99,-27.41,2460.14
Credit card,Newark,2018,9,12033,1182855.74,169848.08,175134.62
No charge,Newark,2018,9,550,17283.31,-2.0,2508.51
No charge,Group ride,2018,9,26,2645.86,0.0,0.0
Cash,,2018,9,112,2938.63,0.0,18.26
Credit card,,2018,9,78,6297.12,148.97,133.56
Cash,Group ride,2018,9,27,1414.26,0.0,5.76
No charge,,2018,9,13,6034.76,300.0,5.76
Dispute,Group ride,2018,9,4,19.67,0.0,0.0
Credit card,Group ride,2018,9,5,47.92,23.66,7.76
Credit card,,2018,10,2961,56991.75,530.91,129.52
No charge,Negotiated fare,2018,10,1444,23015.13,-4.84,2309.44
No charge,Newark,2018,10,587,17665.2,0.0,1776.5
Credit card,Negotiated fare,2018,10,37467,2369746.13,230457.66,93363.84
Dispute,JFK,2018,10,564,17793.86,8.59,1410.07
Cash,Standard rate,2018,10,2470040,3.129438035E7,454.1,327301.06
Dispute,Newark,2018,10,113,4340.78,-25.3,1344.18
Cash,Newark,2018,10,4442,339391.77,15.36,52029.91
No charge,JFK,2018,10,2075,90941.91,-111.68,6098.62
No charge,Nassau or Westchester,2018,10,138,4610.44,0.0,107.04
Dispute,Standard rate,2018,10,12115,124304.82,-16.98,2761.1
Cash,Group ride,2018,10,42,679.39,0.0,0.0
Credit card,Standard rate,2018,10,6007816,9.84766183E7,1.50220547E7,1573127.65
Cash,,2018,10,168,1957.53,2.96,63.5
Cash,Negotiated fare,2018,10,5205,299440.16,0.0,16964.35
Credit card,Newark,2018,10,13815,1371934.31,199282.95,200692.12
Dispute,Negotiated fare,2018,10,352,3481.88,-29.24,675.47
Dispute,Nassau or Westchester,2018,10,35,2025.48,0.0,68.58
Credit card,Nassau or Westchester,2018,10,3712,343783.3,46491.56,10728.17
No charge,Group ride,2018,10,30,1357.6,0.0,0.0
Credit card,JFK,2018,10,157897,1.086379995E7,1661836.97,727938.2
No charge,,2018,10,124,2759.23,0.0,0.0
Cash,JFK,2018,10,58289,3386722.78,128.04,258544.29
No charge,Standard rate,2018,10,39893,427182.44,-10.55,9116.82
Cash,Nassau or Westchester,2018,10,1802,115181.28,0.0,3284.93
Credit card,Group ride,2018,10,6,140.0,116.2,0.0
Dispute,Group ride,2018,10,5,670.35,0.0,0.0
Unknown,Standard rate,2018,10,1,56.44,12.05,5.76
Cash,,2018,11,178,2245.54,0.0,500.04
Credit card,Nassau or Westchester,2018,11,3449,318069.2,42634.39,9349.1
Credit card,Negotiated fare,2018,11,35241,2191352.82,210121.43,83404.05
No charge,Standard rate,2018,11,36249,399094.69,-8.49,7671.47
Credit card,,2018,11,127,6149.09,941.36,639.35
No charge,Nassau or Westchester,2018,11,114,3908.44,0.0,168.24
Dispute,JFK,2018,11,488,15906.86,12.61,1180.75
Cash,Newark,2018,11,3832,288596.42,0.0,44987.42
Credit card,Standard rate,2018,11,5524313,9.013726527E7,1.377584491E7,1429080.06
No charge,Newark,2018,11,519,15491.16,0.0,1605.16
Cash,Nassau or Westchester,2018,11,1713,130432.48,0.0,3229.97
Cash,Group ride,2018,11,23,112.65,0.0,0.0
Dispute,Negotiated fare,2018,11,400,3899.02,10.68,808.78
No charge,Negotiated fare,2018,11,1409,21744.59,-8.22,2576.05
Dispute,Standard rate,2018,11,11347,108231.95,7.86,1804.16
No charge,JFK,2018,11,1874,79126.73,-43.14,6299.27
Cash,Standard rate,2018,11,2315098,2.887253344E7,277.82,296678.55
Cash,JFK,2018,11,50183,2906368.58,11.71,220655.14
Credit card,JFK,2018,11,141602,9736183.09,1502554.79,654731.29
Dispute,Newark,2018,11,109,3687.16,0.0,347.76
Cash,Negotiated fare,2018,11,4546,263081.18,6.48,14915.35
Dispute,Group ride,2018,11,11,47.3,0.0,0.0
Credit card,Newark,2018,11,12835,1291508.71,190267.58,186791.67
Credit card,Group ride,2018,11,4,31.16,17.96,0.0
Dispute,Nassau or Westchester,2018,11,49,2153.82,0.0,33.12
No charge,Group ride,2018,11,21,51.5,0.0,0.0
No charge,,2018,11,14,530.97,9.5,0.0
Unknown,Standard rate,2018,11,1,5.3,0.0,0.0
Credit card,Nassau or Westchester,2018,12,2973,279048.79,38435.09,8825.85
Cash,Nassau or Westchester,2018,12,1608,106876.65,40.0,3712.15
Credit card,,2018,12,80,376080.71,182.79,59.28
Cash,Negotiated fare,2018,12,5048,289102.49,0.0,17860.48
Credit card,Newark,2018,12,11882,1174239.04,172366.24,172872.0
No charge,,2018,12,17,742.82,0.0,0.0
Dispute,Newark,2018,12,146,5894.41,0.0,750.71
Dispute,Nassau or Westchester,2018,12,24,1296.74,0.0,23.04
Cash,Standard rate,2018,12,2463546,3.079537138E7,573.82,313755.43
No charge,Nassau or Westchester,2018,12,98,3391.18,0.0,88.28
No charge,Standard rate,2018,12,36480,378502.53,42.26,7833.82
Dispute,JFK,2018,12,477,10798.26,4.08,1077.38
Cash,,2018,12,154,1813.49,3.16,32.29
Credit card,JFK,2018,12,128149,8826122.56,1365494.41,591647.74
Credit card,Negotiated fare,2018,12,45167,2492780.15,207569.18,100255.88
Cash,Newark,2018,12,4254,319466.48,0.0,50751.58
No charge,JFK,2018,12,1673,68640.62,2.36,3915.25
Dispute,Negotiated fare,2018,12,420,3427.42,8.21,492.08
Dispute,Standard rate,2018,12,12824,119397.11,-107.4,4093.65
Cash,Group ride,2018,12,24,416.89,0.0,178.0
Credit card,Standard rate,2018,12,5402923,8.67423775E7,1.343390096E7,1304169.69
Cash,JFK,2018,12,51316,2974448.41,18.24,227494.8
No charge,Negotiated fare,2018,12,1338,17854.33,-35.36,1769.13
No charge,Newark,2018,12,452,15476.97,0.0,3084.07
Dispute,Group ride,2018,12,2,6.6,0.0,0.0
No charge,Group ride,2018,12,20,868.84,0.0,0.0
Credit card,Group ride,2018,12,5,24.3,4.8,0.0
